game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-08-01,2026-08-01 19:07:00+00:00,St. Louis Cardinals,Toronto Blue Jays,1,5,Toronto Blue Jays,0.41,0.59
2026-08-01,2026-08-01 20:10:00+00:00,Minnesota Twins,Seattle Mariners,3,4,Seattle Mariners,0.4,0.6
2026-08-01,2026-08-01 20:10:00+00:00,Chicago White Sox,Tampa Bay Rays,0,1,Tampa Bay Rays,0.4,0.6
2026-08-01,2026-08-01 20:10:00+00:00,Miami Marlins,New York Mets,6,2,Miami Marlins,0.46,0.54
2026-08-01,2026-08-01 22:40:00+00:00,Pittsburgh Pirates,Cincinnati Reds,4,1,Pittsburgh Pirates,0.53,0.47
2026-08-01,2026-08-01 23:05:00+00:00,Philadelphia Phillies,Baltimore Orioles,5,0,Philadelphia Phillies,0.58,0.42
2026-08-01,2026-08-01 23:10:00+00:00,Texas Rangers,Houston Astros,4,5,Houston Astros,0.54,0.46
2026-08-01,2026-08-01 23:15:00+00:00,Washington Nationals,Atlanta Braves,3,8,Atlanta Braves,0.39,0.61
2026-08-01,2026-08-01 23:15:00+00:00,New York Yankees,Chicago Cubs,2,5,Chicago Cubs,0.47,0.53
2026-08-02,2026-08-02 00:10:00+00:00,Kansas City Royals,Colorado Rockies,6,12,Colorado Rockies,0.49,0.51
2026-08-02,2026-08-02 00:40:00+00:00,San Francisco Giants,San Diego Padres,5,6,San Diego Padres,0.43,0.57
2026-08-02,2026-08-02 01:10:00+00:00,Boston Red Sox,Los Angeles Dodgers,3,2,Boston Red Sox,0.4,0.6
2026-08-02,2026-08-02 01:38:00+00:00,Milwaukee Brewers,Los Angeles Angels,3,1,Milwaukee Brewers,0.69,0.31
2026-08-02,2026-08-02 17:35:00+00:00,Washington Nationals,Atlanta Braves,2,4,Atlanta Braves,0.47,0.53
2026-08-02,2026-08-02 17:37:00+00:00,St. Louis Cardinals,Toronto Blue Jays,5,1,St. Louis Cardinals,0.47,0.53
2026-08-02,2026-08-02 17:40:00+00:00,Pittsburgh Pirates,Cincinnati Reds,2,10,Cincinnati Reds,0.44,0.56
2026-08-02,2026-08-02 17:40:00+00:00,Chicago White Sox,Tampa Bay Rays,9,1,Chicago White Sox,0.42,0.58
2026-08-02,2026-08-02 17:40:00+00:00,Miami Marlins,New York Mets,2,0,Miami Marlins,0.53,0.47
2026-08-02,2026-08-02 18:10:00+00:00,Texas Rangers,Houston Astros,3,7,Houston Astros,0.45,0.55
2026-08-02,2026-08-02 18:20:00+00:00,New York Yankees,Chicago Cubs,2,1,New York Yankees,0.53,0.47
2026-08-02,2026-08-02 19:10:00+00:00,Kansas City Royals,Colorado Rockies,1,8,Colorado Rockies,0.47,0.53
2026-08-02,2026-08-02 19:15:00+00:00,Milwaukee Brewers,Los Angeles Angels,0,3,Los Angeles Angels,0.68,0.32
2026-08-02,2026-08-02 20:10:00+00:00,San Francisco Giants,San Diego Padres,4,5,San Diego Padres,0.46,0.54
2026-08-02,2026-08-02 20:10:00+00:00,Minnesota Twins,Seattle Mariners,6,7,Seattle Mariners,0.44,0.56
2026-08-02,2026-08-02 23:20:00+00:00,Boston Red Sox,Los Angeles Dodgers,8,4,Boston Red Sox,0.38,0.62
2026-08-03,2026-08-03 22:40:00+00:00,Washington Nationals,Philadelphia Phillies,3,6,Philadelphia Phillies,0.42,0.58
2026-08-03,2026-08-03 23:05:00+00:00,St. Louis Cardinals,New York Yankees,13,7,St. Louis Cardinals,0.33,0.67
2026-08-03,2026-08-03 23:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,4,3,Pittsburgh Pirates,0.42,0.58
2026-08-04,2026-08-04 00:05:00+00:00,Los Angeles Dodgers,Chicago Cubs,5,10,Chicago Cubs,0.65,0.35
2026-08-04,2026-08-04 00:05:00+00:00,San Francisco Giants,Texas Rangers,5,1,San Francisco Giants,0.43,0.57
2026-08-04,2026-08-04 00:10:00+00:00,Toronto Blue Jays,Houston Astros,3,1,Toronto Blue Jays,0.45,0.55
2026-08-04,2026-08-04 00:40:00+00:00,Tampa Bay Rays,Colorado Rockies,13,9,Tampa Bay Rays,0.57,0.43
2026-08-04,2026-08-04 22:35:00+00:00,Los Angeles Angels,Baltimore Orioles,1,3,Baltimore Orioles,0.41,0.59
2026-08-04,2026-08-04 22:40:00+00:00,New York Mets,Cleveland Guardians,6,2,New York Mets,0.44,0.56
2026-08-04,2026-08-04 22:40:00+00:00,Washington Nationals,Philadelphia Phillies,0,5,Philadelphia Phillies,0.27,0.73
2026-08-04,2026-08-04 23:05:00+00:00,St. Louis Cardinals,New York Yankees,0,2,New York Yankees,0.36,0.64
2026-08-04,2026-08-04 23:10:00+00:00,Chicago White Sox,Boston Red Sox,2,14,Boston Red Sox,0.43,0.57
2026-08-04,2026-08-04 23:15:00+00:00,Miami Marlins,Atlanta Braves,2,4,Atlanta Braves,0.42,0.58
