game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-03-26,2026-03-26 17:15:00+00:00,Pittsburgh Pirates,New York Mets,7,11,New York Mets,0.49,0.51
2026-03-26,2026-03-26 18:10:00+00:00,Chicago White Sox,Milwaukee Brewers,2,14,Milwaukee Brewers,0.37,0.63
2026-03-26,2026-03-26 18:20:00+00:00,Washington Nationals,Chicago Cubs,10,4,Washington Nationals,0.34,0.66
2026-03-26,2026-03-26 19:05:00+00:00,Minnesota Twins,Baltimore Orioles,1,2,Baltimore Orioles,0.45,0.55
2026-03-26,2026-03-26 20:10:00+00:00,Boston Red Sox,Cincinnati Reds,3,0,Boston Red Sox,0.6,0.4
2026-03-26,2026-03-26 20:10:00+00:00,Los Angeles Angels,Houston Astros,3,0,Los Angeles Angels,0.39,0.61
2026-03-26,2026-03-26 20:10:00+00:00,Detroit Tigers,San Diego Padres,8,2,Detroit Tigers,0.54,0.46
2026-03-26,2026-03-26 20:15:00+00:00,Tampa Bay Rays,St. Louis Cardinals,7,9,St. Louis Cardinals,0.56,0.44
2026-03-26,2026-03-26 20:15:00+00:00,Texas Rangers,Philadelphia Phillies,3,5,Philadelphia Phillies,0.41,0.59
2026-03-27,2026-03-27 02:10:00+00:00,Cleveland Guardians,Seattle Mariners,6,4,Cleveland Guardians,0.39,0.61
2026-03-27,2026-03-27 20:35:00+00:00,New York Yankees,San Francisco Giants,3,0,New York Yankees,0.57,0.43
2026-03-27,2026-03-27 23:10:00+00:00,Colorado Rockies,Miami Marlins,1,2,Miami Marlins,0.37,0.63
2026-03-27,2026-03-27 23:15:00+00:00,Kansas City Royals,Atlanta Braves,0,6,Atlanta Braves,0.44,0.56
2026-03-28,2026-03-28 00:15:00+00:00,Los Angeles Angels,Houston Astros,6,2,Los Angeles Angels,0.42,0.58
2026-03-28,2026-03-28 01:40:00+00:00,Detroit Tigers,San Diego Padres,5,2,Detroit Tigers,0.51,0.49
2026-03-28,2026-03-28 18:15:00+00:00,Tampa Bay Rays,St. Louis Cardinals,5,6,St. Louis Cardinals,0.51,0.49
2026-03-28,2026-03-28 18:20:00+00:00,Washington Nationals,Chicago Cubs,2,10,Chicago Cubs,0.32,0.68
2026-03-28,2026-03-28 20:05:00+00:00,Minnesota Twins,Baltimore Orioles,4,1,Minnesota Twins,0.4,0.6
2026-03-28,2026-03-28 20:05:00+00:00,Texas Rangers,Philadelphia Phillies,5,4,Texas Rangers,0.43,0.57
2026-03-28,2026-03-28 20:10:00+00:00,Boston Red Sox,Cincinnati Reds,5,6,Cincinnati Reds,0.56,0.44
2026-03-28,2026-03-28 20:10:00+00:00,Pittsburgh Pirates,New York Mets,2,4,New York Mets,0.38,0.62
2026-03-28,2026-03-28 20:10:00+00:00,Colorado Rockies,Miami Marlins,3,4,Miami Marlins,0.36,0.64
2026-03-28,2026-03-28 23:10:00+00:00,Los Angeles Angels,Houston Astros,9,11,Houston Astros,0.45,0.55
2026-03-28,2026-03-28 23:10:00+00:00,Chicago White Sox,Milwaukee Brewers,1,6,Milwaukee Brewers,0.36,0.64
2026-03-28,2026-03-28 23:15:00+00:00,Kansas City Royals,Atlanta Braves,2,6,Atlanta Braves,0.43,0.57
2026-03-28,2026-03-28 23:15:00+00:00,New York Yankees,San Francisco Giants,3,1,New York Yankees,0.55,0.45
2026-03-29,2026-03-29 01:40:00+00:00,Cleveland Guardians,Seattle Mariners,6,5,Cleveland Guardians,0.41,0.59
2026-03-29,2026-03-29 17:35:00+00:00,Minnesota Twins,Baltimore Orioles,6,8,Baltimore Orioles,0.41,0.59
