game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-07-01,2026-07-01 16:35:00+00:00,Chicago White Sox,Baltimore Orioles,1,6,Baltimore Orioles,0.45,0.55
2026-07-01,2026-07-01 17:10:00+00:00,Texas Rangers,Cleveland Guardians,4,9,Cleveland Guardians,0.5,0.5
2026-07-01,2026-07-01 17:35:00+00:00,Washington Nationals,Boston Red Sox,10,2,Washington Nationals,0.43,0.57
2026-07-01,2026-07-01 17:35:00+00:00,Detroit Tigers,New York Yankees,6,2,Detroit Tigers,0.45,0.55
2026-07-01,2026-07-01 18:20:00+00:00,San Diego Padres,Chicago Cubs,3,23,Chicago Cubs,0.47,0.53
2026-07-01,2026-07-01 19:07:00+00:00,New York Mets,Toronto Blue Jays,3,9,Toronto Blue Jays,0.5,0.5
2026-07-01,2026-07-01 22:40:00+00:00,Pittsburgh Pirates,Philadelphia Phillies,6,10,Philadelphia Phillies,0.43,0.57
2026-07-01,2026-07-01 23:15:00+00:00,St. Louis Cardinals,Atlanta Braves,1,5,Atlanta Braves,0.45,0.55
2026-07-01,2026-07-01 23:40:00+00:00,Tampa Bay Rays,Kansas City Royals,4,0,Tampa Bay Rays,0.58,0.42
2026-07-02,2026-07-02 00:10:00+00:00,Cincinnati Reds,Milwaukee Brewers,2,4,Milwaukee Brewers,0.37,0.63
2026-07-02,2026-07-02 00:40:00+00:00,Miami Marlins,Colorado Rockies,3,6,Colorado Rockies,0.55,0.45
2026-07-02,2026-07-02 16:35:00+00:00,Pittsburgh Pirates,Philadelphia Phillies,6,1,Pittsburgh Pirates,0.46,0.54
2026-07-02,2026-07-02 18:10:00+00:00,Cincinnati Reds,Milwaukee Brewers,7,2,Cincinnati Reds,0.36,0.64
2026-07-02,2026-07-02 19:10:00+00:00,Miami Marlins,Colorado Rockies,4,14,Colorado Rockies,0.57,0.43
2026-07-02,2026-07-02 22:40:00+00:00,Chicago White Sox,Cleveland Guardians,5,6,Cleveland Guardians,0.5,0.5
2026-07-02,2026-07-02 23:15:00+00:00,St. Louis Cardinals,Atlanta Braves,11,5,St. Louis Cardinals,0.49,0.51
2026-07-02,2026-07-02 23:40:00+00:00,Tampa Bay Rays,Kansas City Royals,5,2,Tampa Bay Rays,0.55,0.45
2026-07-03,2026-07-03 02:10:00+00:00,San Diego Padres,Los Angeles Dodgers,7,12,Los Angeles Dodgers,0.31,0.69
2026-07-03,2026-07-03 20:05:00+00:00,St. Louis Cardinals,Chicago Cubs,17,1,St. Louis Cardinals,0.46,0.54
2026-07-03,2026-07-03 22:45:00+00:00,Pittsburgh Pirates,Washington Nationals,5,9,Washington Nationals,0.43,0.57
2026-07-03,2026-07-03 23:05:00+00:00,Minnesota Twins,New York Yankees,2,5,New York Yankees,0.35,0.65
2026-07-03,2026-07-03 23:10:00+00:00,Baltimore Orioles,Cincinnati Reds,3,0,Baltimore Orioles,0.54,0.46
2026-07-03,2026-07-03 23:10:00+00:00,Chicago White Sox,Cleveland Guardians,3,4,Cleveland Guardians,0.46,0.54
2026-07-03,2026-07-03 23:15:00+00:00,New York Mets,Atlanta Braves,3,5,Atlanta Braves,0.5,0.5
2026-07-04,2026-07-04 00:10:00+00:00,San Francisco Giants,Colorado Rockies,3,15,Colorado Rockies,0.55,0.45
2026-07-04,2026-07-04 00:15:00+00:00,Tampa Bay Rays,Houston Astros,3,1,Tampa Bay Rays,0.51,0.49
2026-07-04,2026-07-04 01:38:00+00:00,Boston Red Sox,Los Angeles Angels,5,2,Boston Red Sox,0.59,0.41
2026-07-04,2026-07-04 02:10:00+00:00,San Diego Padres,Los Angeles Dodgers,3,4,Los Angeles Dodgers,0.3,0.7
2026-07-04,2026-07-04 02:10:00+00:00,Toronto Blue Jays,Seattle Mariners,2,0,Toronto Blue Jays,0.41,0.59
