game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-06-21,2026-06-21 23:20:00+00:00,New York Mets,Philadelphia Phillies,2,6,Philadelphia Phillies,0.38,0.62
2026-06-22,2026-06-22 22:10:00+00:00,New York Yankees,Detroit Tigers,3,5,Detroit Tigers,0.55,0.45
2026-06-22,2026-06-22 22:40:00+00:00,Kansas City Royals,Tampa Bay Rays,2,1,Kansas City Royals,0.37,0.63
2026-06-22,2026-06-22 22:40:00+00:00,Texas Rangers,Miami Marlins,4,3,Texas Rangers,0.46,0.54
2026-06-22,2026-06-22 22:45:00+00:00,Philadelphia Phillies,Washington Nationals,1,4,Washington Nationals,0.48,0.52
2026-06-22,2026-06-22 23:07:00+00:00,Houston Astros,Toronto Blue Jays,2,4,Toronto Blue Jays,0.46,0.54
2026-06-22,2026-06-22 23:10:00+00:00,Milwaukee Brewers,Cincinnati Reds,2,1,Milwaukee Brewers,0.59,0.41
2026-06-22,2026-06-22 23:40:00+00:00,Los Angeles Dodgers,Minnesota Twins,2,1,Los Angeles Dodgers,0.59,0.41
2026-06-22,2026-06-22 23:40:00+00:00,Cleveland Guardians,Chicago White Sox,5,6,Chicago White Sox,0.51,0.49
2026-06-23,2026-06-23 00:40:00+00:00,Boston Red Sox,Colorado Rockies,2,3,Colorado Rockies,0.59,0.41
2026-06-23,2026-06-23 01:38:00+00:00,Baltimore Orioles,Los Angeles Angels,6,1,Baltimore Orioles,0.56,0.44
2026-06-23,2026-06-23 02:10:00+00:00,Atlanta Braves,San Diego Padres,0,1,San Diego Padres,0.52,0.48
2026-06-23,2026-06-23 20:07:00+00:00,Houston Astros,Toronto Blue Jays,9,7,Houston Astros,0.47,0.53
2026-06-23,2026-06-23 22:40:00+00:00,Seattle Mariners,Pittsburgh Pirates,3,2,Seattle Mariners,0.55,0.45
2026-06-23,2026-06-23 22:40:00+00:00,Kansas City Royals,Tampa Bay Rays,12,5,Kansas City Royals,0.37,0.63
2026-06-23,2026-06-23 22:40:00+00:00,Texas Rangers,Miami Marlins,4,6,Miami Marlins,0.4,0.6
2026-06-23,2026-06-23 22:40:00+00:00,New York Yankees,Detroit Tigers,4,3,New York Yankees,0.52,0.48
