snapshot_ts,game_date,away_team,home_team,away_starter,home_starter,lineup_used,model_p_home,entry_p_home,status,close_p_home,home_win,bet_side,bet_edge,pnl_1c,clv,start_utc
2026-08-29T04:55:00+00:00,2026-08-29,Arizona Diamondbacks,San Francisco Giants,Kohl Drake,Blade Tidwell,True,0.5258,,settled,,0.0,,,,,
2026-08-29T04:55:00+00:00,2026-08-29,Boston Red Sox,New York Yankees,Jake Bennett,Carlos Rodón,False,0.5603,0.54,settled,0.56,1.0,home,0.02,0.44,0.02,
2026-08-29T04:55:00+00:00,2026-08-29,Los Angeles Dodgers,Detroit Tigers,Blake Snell,Keider Montero,False,0.3754,0.37,settled,0.36,1.0,,,,,
2026-08-29T04:55:00+00:00,2026-08-29,Chicago White Sox,Minnesota Twins,Erick Fedde,Bailey Ober,False,0.6038,0.53,settled,0.5,0.0,home,0.074,-0.55,-0.03,
2026-08-29T04:55:00+00:00,2026-08-29,Pittsburgh Pirates,St. Louis Cardinals,Lake Bachar,Kyle Leahy,False,0.4686,0.52,settled,0.53,0.0,away,0.051,0.5,-0.01,
2026-08-29T04:55:00+00:00,2026-08-29,Cincinnati Reds,Chicago Cubs,Andrew Abbott,Kevin Gausman,False,0.7102,0.64,settled,0.66,1.0,home,0.07,0.34,0.02,
2026-08-29T04:55:00+00:00,2026-08-29,Seattle Mariners,Toronto Blue Jays,Kade Anderson,José Soriano,False,0.505,0.53,settled,0.51,1.0,away,0.025,-0.49,0.02,
2026-08-29T04:55:00+00:00,2026-08-30,Arizona Diamondbacks,San Francisco Giants,,,False,0.5286,,settled,,1.0,,,,,
2026-08-29T04:55:00+00:00,2026-08-29,Miami Marlins,Washington Nationals,Sandy Alcantara,Cade Cavalli,False,0.4755,0.49,settled,0.49,1.0,,,,,
2026-08-29T04:55:00+00:00,2026-08-29,Kansas City Royals,Cleveland Guardians,Daniel Lynch IV,Foster Griffin,False,0.5305,0.58,settled,0.6,0.0,away,0.049,0.56,-0.02,
2026-08-29T04:55:00+00:00,2026-08-29,Houston Astros,New York Mets,Bennett Sousa,Nolan McLean,False,0.5704,0.55,settled,0.58,1.0,home,0.02,0.43,0.03,
2026-08-29T04:55:00+00:00,2026-08-29,San Diego Padres,Tampa Bay Rays,Walker Buehler,Nick Martinez,False,0.63,0.54,settled,0.54,1.0,home,0.09,0.44,0.0,
2026-08-29T04:55:00+00:00,2026-08-29,Colorado Rockies,Atlanta Braves,Ryan Feltner,Martín Pérez,False,0.723,0.66,settled,0.67,1.0,home,0.063,0.32,0.01,
2026-08-29T04:55:00+00:00,2026-08-29,Texas Rangers,Milwaukee Brewers,Cal Quantrill,Shane Drohan,False,0.6362,0.59,settled,0.61,1.0,home,0.046,0.39,0.02,
2026-08-29T04:55:00+00:00,2026-08-30,Baltimore Orioles,Athletics,Shane Baz,Jack Perkins,False,0.5063,,settled,,0.0,,,,,
2026-08-29T04:55:00+00:00,2026-08-30,Philadelphia Phillies,Los Angeles Angels,Cristopher Sánchez,Ryan Johnson,False,0.4254,0.35,settled,0.38,0.0,home,0.075,-0.37,0.03,
2026-08-29T04:55:00+00:00,2026-08-30,Miami Marlins,Washington Nationals,Janson Junk,Andrew Alvarez,False,0.5805,0.48,settled,0.53,0.0,home,0.101,-0.5,0.05,
2026-08-29T04:55:00+00:00,2026-08-30,Colorado Rockies,Atlanta Braves,Mason Adams,Tyler Mahle,False,0.6512,0.66,settled,0.68,1.0,,,,,
2026-08-29T04:55:00+00:00,2026-08-30,Boston Red Sox,New York Yankees,Ranger Suarez,Will Warren,False,0.4718,0.48,settled,0.41,1.0,,,,,
2026-08-29T04:55:00+00:00,2026-08-30,Seattle Mariners,Toronto Blue Jays,Logan Gilbert,Max Scherzer,False,0.4292,0.47,settled,0.43,1.0,away,0.041,-0.55,0.04,
2026-08-29T04:55:00+00:00,2026-08-30,Kansas City Royals,Cleveland Guardians,Seth Lugo,Parker Messick,False,0.6521,0.6,settled,0.62,1.0,home,0.052,0.38,0.02,
2026-08-29T04:55:00+00:00,2026-08-30,Los Angeles Dodgers,Detroit Tigers,,Framber Valdez,False,0.4903,0.43,settled,0.4,0.0,home,0.06,-0.45,-0.03,
2026-08-29T04:55:00+00:00,2026-08-30,San Diego Padres,Tampa Bay Rays,Robbie Ray,Drew Rasmussen,False,0.5463,0.6,settled,0.59,1.0,away,0.054,-0.42,0.01,
2026-08-29T04:55:00+00:00,2026-08-30,Chicago White Sox,Minnesota Twins,,Zebby Matthews,False,0.5375,0.49,settled,0.51,1.0,home,0.047,0.49,0.02,
2026-08-29T04:55:00+00:00,2026-08-30,Texas Rangers,Milwaukee Brewers,Kumar Rocker,Dustin May,False,0.6892,0.61,settled,0.61,0.0,home,0.079,-0.63,0.0,
2026-08-29T04:55:00+00:00,2026-08-30,Pittsburgh Pirates,St. Louis Cardinals,Braxton Ashcraft,Matthew Liberatore,False,0.5197,0.48,settled,0.45,0.0,home,0.04,-0.5,-0.03,
2026-08-29T04:55:00+00:00,2026-08-30,Houston Astros,New York Mets,,Zac Thornton,False,0.5929,0.53,settled,0.53,0.0,home,0.063,-0.55,0.0,
2026-08-29T04:55:00+00:00,2026-08-30,Cincinnati Reds,Chicago Cubs,Chase Burns,Shota Imanaga,False,0.5365,0.56,settled,0.59,0.0,away,0.024,0.54,-0.03,
2026-08-31T21:30:57+00:00,2026-08-31,San Francisco Giants,Atlanta Braves,Anthony Molina,Bryce Elder,True,0.6428,0.65,settled,0.65,0.0,,,,,2026-08-31T22:05:00
2026-08-31T21:30:57+00:00,2026-08-31,San Diego Padres,Cincinnati Reds,Michael King,Brady Singer,True,0.4229,0.42,settled,0.41,0.0,,,,,2026-08-31T22:40:00
2026-08-31T21:30:57+00:00,2026-08-31,New York Mets,Tampa Bay Rays,Robert Stock,Ian Seymour,True,0.7296,0.63,settled,0.63,0.0,home,0.1,-0.65,0.0,2026-08-31T22:40:00
2026-08-31T21:30:57+00:00,2026-08-31,Seattle Mariners,Boston Red Sox,George Kirby,Payton Tolle,True,0.65,0.59,settled,0.59,1.0,home,0.06,0.39,0.0,2026-08-31T22:45:00
2026-08-31T21:30:57+00:00,2026-08-31,Miami Marlins,Washington Nationals,Ryan Gusto,Will Dion,True,0.5597,0.49,settled,0.49,1.0,home,0.07,0.49,0.0,2026-08-31T22:45:00
2026-08-31T23:12:12+00:00,2026-08-31,Detroit Tigers,Minnesota Twins,Jackson Jobe,Taj Bradley,True,0.5772,0.53,settled,0.53,1.0,home,0.047,0.45,0.0,2026-08-31T23:40:00
2026-08-31T23:12:12+00:00,2026-08-31,Milwaukee Brewers,Chicago Cubs,Kyle Harrison,Clay Holmes,True,0.611,0.48,settled,0.48,1.0,home,0.131,0.5,0.0,2026-08-31T23:40:00
